@
Time (us),Roll (deg),Pitch (deg),Yaw (deg),AccX (m/s/s),AccY (m/s/s),AccZ (m/s/s),Press (Pa),Temp (C),HGX (g),HGY (g),HGZ (g)
1824714,179.02,-0.21,-92.48,0.14,0.16,0.00,102677.72,35.79,-0.17,0.70,0.74
1834943,179.02,-0.20,-92.50,0.12,0.18,0.04,102676.88,35.79,-0.27,0.45,0.81
1845162,179.02,-0.19,-92.54,0.10,0.17,0.03,102676.24,35.80,-0.17,0.64,0.55
1855410,179.02,-0.20,-92.54,0.12,0.18,0.02,102676.54,35.80,-0.15,0.44,0.70
1865639,179.02,-0.20,-92.54,0.11,0.17,0.03,102675.99,35.80,-0.19,0.52,0.96
1876986,179.02,-0.20,-92.52,0.13,0.18,0.00,102678.11,35.80,0.00,0.38,1.05
1887199,179.01,-0.19,-92.57,0.12,0.19,0.00,102678.45,35.80,-0.08,0.54,0.80
1897435,179.02,-0.20,-92.56,0.10,0.16,-0.02,102678.17,35.80,-0.25,0.58,0.28
1907651,179.02,-0.21,-92.55,0.12,0.17,0.00,102677.99,35.80,-0.25,0.74,0.68
1917889,179.02,-0.21,-92.55,0.10,0.17,-0.02,102677.86,35.80,-0.24,0.27,1.00
1928127,179.02,-0.21,-92.53,0.13,0.16,-0.01,102677.99,35.80,-0.40,0.52,0.71
1938365,179.02,-0.21,-92.55,0.11,0.17,-0.01,102677.08,35.80,0.04,0.38,0.77
1948598,179.03,-0.21,-92.51,0.12,0.16,0.05,102676.41,35.80,-0.23,0.39,0.93
1958838,179.03,-0.22,-92.48,0.11,0.18,0.02,102676.66,35.80,-0.40,0.59,0.89
1969086,179.02,-0.21,-92.49,0.12,0.19,0.03,102677.11,35.80,-0.31,0.51,0.96
1980417,179.02,-0.21,-92.46,0.12,0.19,0.03,102678.95,35.80,-0.22,0.57,0.93
1990651,179.02,-0.22,-92.38,0.12,0.17,-0.00,102678.82,35.80,-0.08,0.39,0.58
2000893,179.02,-0.22,-92.40,0.13,0.17,-0.01,102678.50,35.80,-0.45,0.55,0.90
2011138,179.02,-0.22,-92.39,0.11,0.17,-0.01,102677.52,35.81,-0.13,0.38,0.84
2021364,179.02,-0.22,-92.37,0.12,0.19,0.01,102677.75,35.80,-0.30,0.43,0.95
2031603,179.01,-0.22,-92.39,0.12,0.21,0.01,102677.41,35.80,-0.45,0.75,0.93
