@
Time (us),Roll (deg),Pitch (deg),Yaw (deg),AccX (m/s/s),AccY (m/s/s),AccZ (m/s/s),Press (Pa),Temp (C),HGX (g),HGY (g),HGZ (g)
5668321,179.03,-0.22,-92.54,0.11,0.15,0.05,102678.73,35.95,-0.22,0.39,0.73
5678554,179.03,-0.21,-92.58,0.12,0.18,0.02,102679.32,35.96,-0.20,0.51,0.85
5688777,179.03,-0.21,-92.55,0.12,0.17,0.00,102679.80,35.96,-0.16,0.61,0.87
5699006,179.03,-0.21,-92.57,0.13,0.17,-0.00,102680.15,35.96,-0.15,0.47,0.96
5710349,179.04,-0.20,-92.60,0.13,0.16,0.05,102678.36,35.96,0.01,0.52,0.86
5720589,179.04,-0.20,-92.58,0.12,0.17,0.04,102678.54,35.96,-0.35,0.61,0.95
5730812,179.04,-0.20,-92.54,0.13,0.15,0.03,102677.67,35.96,-0.19,0.44,0.82
5741041,179.05,-0.20,-92.55,0.12,0.15,0.00,102677.52,35.96,-0.19,0.44,1.10
5751273,179.04,-0.20,-92.56,0.12,0.18,0.03,102678.45,35.96,-0.35,0.60,0.77
5761507,179.04,-0.20,-92.56,0.10,0.18,-0.01,102678.09,35.96,-0.54,0.43,0.86
5771741,179.04,-0.20,-92.57,0.12,0.19,0.02,102677.33,35.96,-0.26,0.40,1.03
5781975,179.04,-0.19,-92.63,0.11,0.17,0.02,102674.45,35.96,-0.17,0.47,0.87
5792201,179.04,-0.20,-92.60,0.09,0.17,0.02,102675.63,35.96,0.01,0.56,0.33
5802428,179.04,-0.21,-92.56,0.11,0.17,0.01,102676.22,35.96,-0.16,0.46,0.30
5813766,179.04,-0.21,-92.51,0.12,0.17,-0.02,102675.43,35.96,-0.27,0.56,0.22
5824012,179.04,-0.21,-92.51,0.13,0.17,-0.01,102676.35,35.96,-0.29,0.66,0.43
5834248,179.04,-0.21,-92.49,0.12,0.17,0.00,102676.55,35.96,-0.33,0.48,0.44
5844489,179.04,-0.22,-92.47,0.11,0.17,0.02,102677.70,35.96,-0.14,0.45,0.99
5854717,179.03,-0.22,-92.43,0.13,0.19,0.02,102677.05,35.96,-0.42,0.52,0.94
5864959,179.04,-0.22,-92.42,0.12,0.17,0.02,102677.30,35.96,-0.32,0.57,0.89
5875204,179.04,-0.22,-92.41,0.12,0.18,-0.00,102677.25,35.97,-0.30,0.43,0.61
5885446,179.04,-0.21,-92.43,0.12,0.16,0.00,102678.48,35.97,-0.22,0.52,0.79
5895657,179.04,-0.21,-92.45,0.11,0.17,0.03,102675.57,35.97,-0.20,0.53,0.90
5905902,179.04,-0.20,-92.46,0.13,0.17,0.01,102675.96,35.96,-0.35,0.50,0.81
5917229,179.04,-0.20,-92.45,0.12,0.16,0.03,102675.74,35.96,-0.50,0.45,0.86
5927476,179.04,-0.20,-92.49,0.10,0.16,0.03,102675.05,35.97,-0.26,0.40,1.07
5937707,179.04,-0.20,-92.49,0.11,0.16,-0.01,102676.60,35.96,-0.17,0.43,1.07
5947947,179.05,-0.19,-92.52,0.13,0.15,0.03,102675.16,35.97,-0.42,0.56,1.15
5958174,179.05,-0.19,-92.52,0.11,0.16,0.01,102675.67,35.97,-0.24,0.38,0.70
5968411,179.05,-0.19,-92.56,0.10,0.16,0.02,102676.52,35.97,-0.17,0.51,0.61
5978642,179.05,-0.18,-92.58,0.11,0.17,0.00,102676.16,35.97,-0.35,0.57,0.83
5988860,179.05,-0.18,-92.57,0.12,0.17,0.01,102675.37,35.97,-0.23,0.50,0.67
5999099,179.05,-0.19,-92.56,0.10,0.17,0.03,102675.83,35.97,-0.28,0.53,0.92
6009340,179.05,-0.19,-92.60,0.11,0.16,0.01,102675.11,35.97,-0.21,0.61,0.65
@
